id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18944060,Frugal Stay X,17758,Basuki,,Brighton,42.36211,-71.14497,Private room,44,1,33,11/19/2017,1.37,2,0
18944289,Frugal Stay Y,17758,Basuki,,Brighton,42.36186,-71.14455,Private room,49,1,37,11/18/2017,1.54,2,0
18945236,Phenomenal Boston 2BR Condo!,4962900,Stay Alfred,,Back Bay,42.34648,-71.0798,Entire home/apt,999,1,6,04/18/2019,0.32,43,59
18945347,#302 Boston New heating AC free  免费咖啡可讲国语全楼禁烟,105851798,Anne,,Dorchester,42.3068,-71.06562,Private room,52,1,31,05/17/2019,1.33,18,331
18945938,Cozy Condo in Downtown Boston!,4962900,Stay Alfred,,Back Bay,42.34623,-71.0788,Entire home/apt,999,1,6,04/29/2019,0.27,43,28
18945958,1BR Boston Condo Near FENWAY PARK!,4962900,Stay Alfred,,Back Bay,42.34582,-71.08009,Entire home/apt,999,1,0,,,43,42
18945971,Delightful Downtown Boston Condo!,4962900,Stay Alfred,,Back Bay,42.34649,-71.07833,Entire home/apt,999,1,2,11/26/2017,0.09,43,16
18946874,Convenient and Comfortable Apartment,42324529,Dandan,,Allston,42.35086,-71.13223,Private room,45,1,2,08/16/2017,0.09,1,0
18956699,Simple Studio + Patio Steps From Back Bay Station!,291447,Rory,,South End,42.34628,-71.07392,Entire home/apt,99,1,148,05/16/2019,6.15,2,40
18957205,Amazing Location! 1 Bdrm/Queen Bed in Beacon Hill,14423392,Courtney,,Beacon Hill,42.35988,-71.06523,Private room,140,1,11,11/18/2018,0.48,2,0
18974032,10 Allston,106561162,Lucia,,Allston,42.35343,-71.13337,Private room,60,1,27,08/24/2017,1.12,1,0
18975041,Backbay Apartment,75630007,Rajiv,,South End,42.34479,-71.07623,Entire home/apt,85,2,3,08/06/2017,0.13,1,0
18975942,victorian Rm1 Chinatown唐人街-順㬌大房-2 beds near T,131456838,Eddie,,Chinatown,42.34791,-71.06087,Private room,100,1,48,05/16/2019,2.02,10,320
19005408,GORGEOUS APT by BU! 3BR/1Bath+ 1 Private Parking!,85678907,Jesús & Otto,,Allston,42.34745,-71.13603,Entire home/apt,139,2,105,04/14/2019,4.57,7,333
19007014,#3 Samuel Adam neighborhood Boston vicinity (T),132606746,Javier,,Jamaica Plain,42.31441,-71.1024,Private room,65,1,53,04/16/2019,2.83,5,325
19007419,Entire home- great location at a special price!,91851593,Joanna,,South Boston,42.33862,-71.02985,Entire home/apt,180,7,3,08/09/2017,0.13,2,0
19014867,Peaceful apt across from train stop 20m to Boston,15537747,Dennis,,Allston,42.35278,-71.12461,Entire home/apt,115,4,1,06/06/2017,0.04,1,0
19015741,"Spacious Private Room, near Harvard Square 3",38761324,Ying,,Allston,42.35899,-71.13291,Private room,79,8,4,09/08/2017,0.18,3,0
19017513,Walk to the Beach or City room 6,30342817,Piter & Stacy,,Dorchester,42.31708,-71.05833,Private room,70,1,62,04/28/2019,2.84,7,341
19018530,4 Boston Dwtn Shiny 4BR/2BT walk2all for biz/tour,90527363,Haiying,,Chinatown,42.34882,-71.062,Entire home/apt,379,1,42,04/28/2019,1.87,6,27
19019422,"#1 Cozy private room near airport, downtown Boston",66665179,Zhenwei,,East Boston,42.3894,-71.0078,Private room,49,2,3,07/31/2017,0.13,5,0
19019477,Sweet place for girls or couples,65530872,Shirley,,Fenway,42.34276,-71.0889,Private room,85,2,6,08/08/2017,0.27,1,0
19019562,★Marathon Open★ Luxe Penthouse★ Killer View Deck★,59234220,Lara,,Beacon Hill,42.36006,-71.06755,Entire home/apt,99,2,61,12/26/2018,3.06,8,0
19019919,"#2 Cozy private room near airport, downtown Boston",66665179,Zhenwei,,East Boston,42.38979,-71.00734,Private room,75,1,0,,,5,0
19019981,"#3 Cozy private room near airport, downtown Boston",66665179,Zhenwei,,East Boston,42.39025,-71.00898,Private room,75,1,3,06/30/2017,0.13,5,0
